"from","to","strength","direction","in_final_dag"
"hemoglobin","hematocrit",1,0.538,TRUE
"ast","alt",1,0.512,TRUE
"albumin","calcium",0.995,0.586934673366834,TRUE
"VEGFA","IL7",0.991,0.538345105953582,TRUE
"triglycerides","hdl",0.99,0.571212121212121,TRUE
"CXCL9","CXCL10",0.986,0.552738336713996,TRUE
"age_group","GDF15",0.979,1,TRUE
"TNFRSF1B","HAVCR2",0.965,0.586528497409326,TRUE
"sex","LEP",0.964,1,TRUE
"GZMA","LAG3",0.939,0.649627263045793,TRUE
"GZMA","CD8A",0.937,0.711312700106724,TRUE
"LEP","IL1RN",0.904,0.536504424778761,TRUE
"TNFRSF1B","TNFRSF1A",0.89,0.56123595505618,TRUE
"TNFRSF1A","HAVCR2",0.887,0.537204058624577,TRUE
"CXCL10","CXCL11",0.882,0.747165532879819,TRUE
"alt","ast",1,0.488,FALSE
"hematocrit","hemoglobin",1,0.462,FALSE
"calcium","albumin",0.995,0.413065326633166,FALSE
"IL7","VEGFA",0.991,0.461654894046418,FALSE
"hdl","triglycerides",0.99,0.428787878787879,FALSE
"CXCL10","CXCL9",0.986,0.447261663286004,FALSE
"GDF15","age_group",0.979,0,FALSE
"HAVCR2","TNFRSF1B",0.965,0.413471502590674,FALSE
"LEP","sex",0.964,0,FALSE
"LAG3","GZMA",0.939,0.350372736954207,FALSE
"CD8A","GZMA",0.937,0.288687299893276,FALSE
"IL1RN","LEP",0.904,0.463495575221239,FALSE
"TNFRSF1A","TNFRSF1B",0.89,0.43876404494382,FALSE
"HAVCR2","TNFRSF1A",0.887,0.462795941375423,FALSE
"CXCL11","CXCL10",0.882,0.252834467120181,FALSE
"creatinine","bun",0.845,0.718343195266272,FALSE
"bun","creatinine",0.845,0.281656804733728,FALSE
"CXCL9","PDCD1",0.845,0.689940828402367,FALSE
"PDCD1","CXCL9",0.845,0.310059171597633,FALSE
"GZMA","GZMB",0.812,0.690270935960591,FALSE
"GZMB","GZMA",0.812,0.309729064039409,FALSE
"esr","platelets",0.807,0.589838909541512,FALSE
"platelets","esr",0.807,0.410161090458488,FALSE
"CXCL9","IFNG",0.803,0.787671232876712,FALSE
"IFNG","CXCL9",0.803,0.212328767123288,FALSE
"TNF","IFNG",0.792,0.549242424242424,FALSE
"IFNG","TNF",0.792,0.450757575757576,FALSE
"sex","IGFBP7",0.786,1,FALSE
"IGFBP7","sex",0.786,0,FALSE
"sex","creatinine",0.781,1,FALSE
"creatinine","sex",0.781,0,FALSE
"FGF21","CHI3L1",0.757,0.404227212681638,FALSE
"CHI3L1","FGF21",0.757,0.595772787318362,FALSE
"IL6","IL1RN",0.752,0.308510638297872,FALSE
"IL1RN","IL6",0.752,0.691489361702128,FALSE
"CCL2","CCL11",0.75,0.37,FALSE
"CCL11","CCL2",0.75,0.63,FALSE
"potassium","calcium",0.748,0.707219251336898,FALSE
"calcium","potassium",0.748,0.292780748663102,FALSE
"CCL4","GZMB",0.747,0.564926372155288,FALSE
"GZMB","CCL4",0.747,0.435073627844712,FALSE
"CXCL8","CCL11",0.715,0.376223776223776,FALSE
"CCL11","CXCL8",0.715,0.623776223776224,FALSE
"CXCL8","CCL2",0.713,0.460729312762973,FALSE
"IL18","PDCD1",0.713,0.238429172510519,FALSE
"CCL2","CXCL8",0.713,0.539270687237027,FALSE
"PDCD1","IL18",0.713,0.761570827489481,FALSE
"CCL3","CCL4",0.712,0.620786516853933,FALSE
"CCL4","CCL3",0.712,0.379213483146067,FALSE
"bun","FGF21",0.7,0.545,FALSE
"FGF21","bun",0.7,0.455,FALSE
"albumin","bun",0.698,0.343839541547278,FALSE
"bun","albumin",0.698,0.656160458452722,FALSE
"IGFBP7","TNFRSF1A",0.697,0.195121951219512,FALSE
"TNFRSF1A","IGFBP7",0.697,0.804878048780488,FALSE
"CXCL8","CD8A",0.676,0.568047337278107,FALSE
"CD8A","CXCL8",0.676,0.431952662721894,FALSE
"crp","VEGFA",0.675,0.640740740740741,FALSE
"IGFBP7","LAG3",0.675,0.291851851851852,FALSE
"VEGFA","crp",0.675,0.359259259259259,FALSE
"LAG3","IGFBP7",0.675,0.708148148148148,FALSE
"CXCL11","GZMA",0.674,0.448071216617211,FALSE
"GZMA","CXCL11",0.674,0.551928783382789,FALSE
"eosinophils","LEP",0.672,0.456845238095238,FALSE
"LEP","eosinophils",0.672,0.543154761904762,FALSE
"FGF21","LEP",0.67,0.396268656716418,FALSE
"LEP","FGF21",0.67,0.603731343283582,FALSE
"TNFRSF1B","PDCD1",0.669,0.523168908819133,FALSE
"PDCD1","TNFRSF1B",0.669,0.476831091180867,FALSE
"age_group","CCL11",0.663,1,FALSE
"CCL11","age_group",0.663,0,FALSE
"CXCL10","IL1RN",0.662,0.359516616314199,FALSE
"IL1RN","CXCL10",0.662,0.640483383685801,FALSE
"monocytes","hemoglobin",0.657,0.251141552511416,FALSE
"hemoglobin","monocytes",0.657,0.748858447488584,FALSE
"triglycerides","VEGFA",0.656,0.268292682926829,FALSE
"VEGFA","triglycerides",0.656,0.731707317073171,FALSE
"neutrophils","CXCL8",0.637,0.323390894819466,FALSE
"CXCL8","neutrophils",0.637,0.676609105180534,FALSE
"CXCL8","MMP12",0.632,0.561708860759494,FALSE
"MMP12","CXCL8",0.632,0.438291139240506,FALSE
"glucose","IL10",0.624,0.473557692307692,FALSE
"IL10","glucose",0.624,0.526442307692308,FALSE
"CCL8","CCL11",0.623,0.215890850722311,FALSE
"CCL11","CCL8",0.623,0.784109149277689,FALSE
"triglycerides","IGFBP7",0.618,0.627831715210356,FALSE
"IGFBP7","triglycerides",0.618,0.372168284789644,FALSE
"TNF","CXCL10",0.61,0.218032786885246,FALSE
"CXCL10","TNF",0.61,0.781967213114754,FALSE
"hemoglobin","rdw",0.608,0.245065789473684,FALSE
"rdw","hemoglobin",0.608,0.754934210526316,FALSE
"crp","IL6",0.599,0.41652754590985,FALSE
"hdl","ldl",0.599,0.23873121869783,FALSE
"ldl","hdl",0.599,0.76126878130217,FALSE
"IL6","crp",0.599,0.58347245409015,FALSE
"creatinine","IL18",0.59,0.592372881355932,FALSE
"IL18","creatinine",0.59,0.407627118644068,FALSE
"IL1RN","CCL4",0.585,0.47008547008547,FALSE
"CCL4","IL1RN",0.585,0.52991452991453,FALSE
"alt","IL18",0.58,0.553448275862069,FALSE
"IL18","alt",0.58,0.446551724137931,FALSE
"sex","HAVCR2",0.579,1,FALSE
"ldl","triglycerides",0.579,0.773747841105354,FALSE
"triglycerides","ldl",0.579,0.226252158894646,FALSE
"HAVCR2","sex",0.579,0,FALSE
"esr","IL1RN",0.575,0.379130434782609,FALSE
"IL1RN","esr",0.575,0.620869565217391,FALSE
"IL15","KLRD1",0.571,0.632224168126095,FALSE
"KLRD1","IL15",0.571,0.367775831873905,FALSE
"wbc","CXCL8",0.568,0.167253521126761,FALSE
"CXCL8","wbc",0.568,0.832746478873239,FALSE
"CCL3","TNFRSF1B",0.563,0.25044404973357,FALSE
"TNFRSF1B","CCL3",0.563,0.74955595026643,FALSE
"age_group","IL10",0.556,1,FALSE
"IL10","age_group",0.556,0,FALSE
"GDF15","FGF21",0.555,0.726126126126126,FALSE
"FGF21","GDF15",0.555,0.273873873873874,FALSE
"CCL11","VEGFA",0.552,0.592391304347826,FALSE
