"from","to","strength","direction","in_final_dag"
"g2_m_checkpoint","e2f_targets",1,0.51,TRUE
"interferon_gamma_response","interferon_alpha_response",1,0.507,TRUE
"estrogen_response_early","estrogen_response_late",1,0.545,TRUE
"g2_m_checkpoint","mitotic_spindle",0.997,0.807923771313942,TRUE
"epithelial_mesenchymal_transition","uv_response_dn",0.964,0.835580912863071,TRUE
"epithelial_mesenchymal_transition","apical_junction",0.964,0.594917012448133,TRUE
"coagulation","complement",0.963,0.68380062305296,TRUE
"hypoxia","protein_secretion",0.958,0.804279749478079,TRUE
"e2f_targets","g2_m_checkpoint",1,0.49,FALSE
"interferon_alpha_response","interferon_gamma_response",1,0.493,FALSE
"estrogen_response_late","estrogen_response_early",1,0.455,FALSE
"mitotic_spindle","g2_m_checkpoint",0.997,0.192076228686058,FALSE
"uv_response_dn","epithelial_mesenchymal_transition",0.964,0.164419087136929,FALSE
"apical_junction","epithelial_mesenchymal_transition",0.964,0.405082987551867,FALSE
"complement","coagulation",0.963,0.31619937694704,FALSE
"protein_secretion","hypoxia",0.958,0.195720250521921,FALSE
"inflammatory_response","il_6_jak_stat3_signaling",0.901,0.83795782463929,FALSE
"il_6_jak_stat3_signaling","inflammatory_response",0.901,0.16204217536071,FALSE
"cholesterol_homeostasis","apoptosis",0.892,0.318385650224215,FALSE
"apoptosis","cholesterol_homeostasis",0.892,0.681614349775785,FALSE
"e2f_targets","myc_targets_v1",0.89,0.82752808988764,FALSE
"myc_targets_v1","e2f_targets",0.89,0.17247191011236,FALSE
"inflammatory_response","kras_signaling_up",0.869,0.496547756041427,FALSE
"kras_signaling_up","inflammatory_response",0.869,0.503452243958573,FALSE
"mitotic_spindle","adipogenesis",0.862,0.385150812064965,FALSE
"adipogenesis","mitotic_spindle",0.862,0.614849187935035,FALSE
"bile_acid_metabolism","pperoxisome",0.829,0.648371531966224,FALSE
"pperoxisome","bile_acid_metabolism",0.829,0.351628468033776,FALSE
"mtorc1_signaling","glycolysis",0.824,0.58252427184466,FALSE
"glycolysis","mtorc1_signaling",0.824,0.41747572815534,FALSE
"myc_targets_v1","dna_repair",0.823,0.795868772782503,FALSE
"dna_repair","myc_targets_v1",0.823,0.204131227217497,FALSE
"allograft_rejection","kras_signaling_up",0.815,0.184662576687117,FALSE
"kras_signaling_up","allograft_rejection",0.815,0.815337423312884,FALSE
"unfolded_protein_response","interferon_gamma_response",0.812,0.416256157635468,FALSE
"interferon_gamma_response","unfolded_protein_response",0.812,0.583743842364532,FALSE
"hypoxia","epithelial_mesenchymal_transition",0.799,0.158948685857322,FALSE
"epithelial_mesenchymal_transition","hypoxia",0.799,0.841051314142678,FALSE
"estrogen_response_early","apical_surface",0.784,0.85969387755102,FALSE
"apical_surface","estrogen_response_early",0.784,0.14030612244898,FALSE
"myogenesis","epithelial_mesenchymal_transition",0.775,0.303870967741936,FALSE
"epithelial_mesenchymal_transition","myogenesis",0.775,0.696129032258065,FALSE
"myc_targets_v1","myc_targets_v2",0.764,0.740837696335078,FALSE
"myc_targets_v2","myc_targets_v1",0.764,0.259162303664921,FALSE
"cholesterol_homeostasis","protein_secretion",0.761,0.304862023653088,FALSE
"protein_secretion","cholesterol_homeostasis",0.761,0.695137976346912,FALSE
