"from","to","strength","direction","in_final_dag"
"cm_cd4_t_cell_ifn_alpha","cm_cd4_t_cell_ifn_gamma",1,0.5295,TRUE
"cd56bright_nk_cell_ifn_alpha","cd56bright_nk_cell_ifn_gamma",1,0.523,TRUE
"core_naive_b_cell_ifn_gamma","core_naive_b_cell_ifn_alpha",1,0.53,TRUE
"core_cd14_monocyte_ifn_alpha","core_cd14_monocyte_ifn_gamma",1,0.5025,TRUE
"core_cd14_monocyte_tnfa_nfkb","isg_cd14_monocyte_tnfa_nfkb",1,0.5285,TRUE
"gzmk_cd56dim_nk_cell_ifn_gamma","gzmk_cd56dim_nk_cell_ifn_alpha",1,0.52,TRUE
"naive_cd4_treg_ifn_alpha","naive_cd4_treg_ifn_gamma",1,0.522,TRUE
"isg_cd14_monocyte_ifn_gamma","isg_cd14_monocyte_ifn_alpha",1,0.5345,TRUE
"memory_cd4_treg_ifn_gamma","memory_cd4_treg_ifn_alpha",1,0.531,TRUE
"core_cd16_monocyte_ifn_gamma","core_cd16_monocyte_ifn_alpha",1,0.5015,TRUE
"cd14_cdc2_ifn_gamma","cd14_cdc2_ifn_alpha",1,0.5355,TRUE
"cm_cd8_t_cell_ifn_alpha","cm_cd8_t_cell_ifn_gamma",1,0.586,TRUE
"cd8_mait_ifn_gamma","cd8_mait_ifn_alpha",1,0.509,TRUE
"intermediate_monocyte_ifn_gamma","intermediate_monocyte_ifn_alpha",1,0.5035,TRUE
"hla_drhi_cdc2_ifn_gamma","hla_drhi_cdc2_ifn_alpha",1,0.5045,TRUE
"pdc_ifn_alpha","pdc_ifn_gamma",1,0.5185,TRUE
"klrb1_memory_cd4_treg_ifn_alpha","klrb1_memory_cd4_treg_ifn_gamma",1,0.512,TRUE
"gzmk_vd2_gdt_ifn_alpha","gzmk_vd2_gdt_ifn_gamma",1,0.515,TRUE
"klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma","klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha",1,0.52,TRUE
"isg_memory_cd4_t_cell_ifn_gamma","isg_memory_cd4_t_cell_ifn_alpha",1,0.5225,TRUE
"core_memory_b_cell_ifn_gamma","core_memory_b_cell_ifn_alpha",0.999,0.685685685685686,TRUE
"core_cd14_monocyte_il6_jak_stat3","isg_cd14_monocyte_il6_jak_stat3",0.999,0.743743743743744,TRUE
"core_cd14_monocyte_il2_stat5","isg_cd14_monocyte_il2_stat5",0.999,0.817817817817818,TRUE
"transitional_b_cell_ifn_gamma","transitional_b_cell_ifn_alpha",0.998,0.690380761523046,TRUE
"core_naive_cd4_t_cell_ifn_gamma","core_naive_cd8_t_cell_ifn_gamma",0.996,0.514558232931727,TRUE
"core_cd14_monocyte_inflammatory","isg_cd14_monocyte_inflammatory",0.996,0.672690763052209,TRUE
"core_naive_cd8_t_cell_ifn_gamma","core_naive_cd8_t_cell_ifn_alpha",0.995,0.551758793969849,TRUE
"core_naive_cd4_t_cell_tnfa_nfkb","core_naive_cd8_t_cell_tnfa_nfkb",0.994,0.514084507042254,TRUE
"pdc_il2_stat5","pdc_il6_jak_stat3",0.994,0.527162977867203,TRUE
"gzmb_cd27_em_cd4_t_cell_ifn_alpha","gzmb_cd27_em_cd4_t_cell_ifn_gamma",0.991,0.631685166498486,TRUE
"core_naive_cd4_t_cell_inflammatory","core_naive_cd4_t_cell_il6_jak_stat3",0.988,0.558704453441296,TRUE
"core_naive_cd4_t_cell_ifn_gamma","core_naive_cd4_t_cell_ifn_alpha",0.985,0.622335025380711,TRUE
"core_naive_cd8_t_cell_ifn_alpha","core_naive_cd4_t_cell_ifn_alpha",0.983,0.560020345879959,TRUE
"cm_cd4_t_cell_tnfa_nfkb","gzmb_cd27_em_cd4_t_cell_tnfa_nfkb",0.981,0.749235474006116,TRUE
"core_naive_cd4_t_cell_il2_stat5","core_naive_cd8_t_cell_il2_stat5",0.971,0.602986611740474,TRUE
"cd14_cdc2_tnfa_nfkb","cd14_cdc2_inflammatory",0.968,0.683884297520661,TRUE
"cm_cd4_t_cell_ifn_alpha","gzmb_cd27_em_cd4_t_cell_ifn_alpha",0.962,0.761434511434511,TRUE
"gzmk_cd56dim_nk_cell_ifn_gamma","gzmk_cd56dim_nk_cell_il2_stat5",0.961,0.553069719042664,TRUE
"hla_drhi_cdc2_tnfa_nfkb","cd14_cdc2_tnfa_nfkb",0.952,0.598739495798319,TRUE
"core_memory_b_cell_il2_stat5","core_memory_b_cell_il6_jak_stat3",0.946,0.795454545454545,TRUE
"gzmk_vd2_gdt_tnfa_nfkb","cm_cd8_t_cell_tnfa_nfkb",0.943,0.540296924708378,TRUE
"cm_cd4_t_cell_il2_stat5","gzmb_cd27_em_cd4_t_cell_il2_stat5",0.936,0.787393162393162,TRUE
"core_cd16_monocyte_tnfa_nfkb","core_cd16_monocyte_inflammatory",0.932,0.811695278969957,TRUE
"core_naive_b_cell_il6_jak_stat3","core_naive_b_cell_inflammatory",0.93,0.528494623655914,TRUE
"hla_drhi_cdc2_tnfa_nfkb","hla_drhi_cdc2_inflammatory",0.927,0.68824163969795,TRUE
"core_naive_b_cell_tnfa_nfkb","core_memory_b_cell_tnfa_nfkb",0.922,0.587310195227766,TRUE
"gzmk_cd56dim_nk_cell_il2_stat5","gzmk_cd56dim_nk_cell_inflammatory",0.916,0.512008733624454,TRUE
"gzmk_cd56dim_nk_cell_tnfa_nfkb","cd8_mait_tnfa_nfkb",0.915,0.525136612021858,TRUE
"core_cd14_monocyte_il6_jak_stat3","core_cd14_monocyte_il2_stat5",0.909,0.558855885588559,TRUE
"klrb1_memory_cd4_treg_tnfa_nfkb","klrb1_memory_cd4_treg_il2_stat5",0.908,0.742290748898678,TRUE
"klrb1_memory_cd4_treg_ifn_gamma","klrb1_memory_cd4_treg_il2_stat5",0.908,0.66079295154185,TRUE
"hla_drhi_cdc2_il2_stat5","hla_drhi_cdc2_inflammatory",0.902,0.585920177383592,TRUE
"core_cd14_monocyte_tnfa_nfkb","intermediate_monocyte_tnfa_nfkb",0.899,0.815906562847608,TRUE
"core_naive_b_cell_tnfa_nfkb","transitional_b_cell_tnfa_nfkb",0.895,0.859217877094972,TRUE
"gzmb_cd27_em_cd4_t_cell_ifn_gamma","gzmb_cd27_em_cd4_t_cell_inflammatory",0.887,0.631341600901917,TRUE
"gzmk_cd56dim_nk_cell_inflammatory","gzmk_cd56dim_nk_cell_il6_jak_stat3",0.882,0.606009070294785,TRUE
"klrf1_gzmb_cd27_em_cd8_t_cell_inflammatory","klrf1_gzmb_cd27_em_cd8_t_cell_il2_stat5",0.878,0.604214123006834,TRUE
"cm_cd4_t_cell_ifn_gamma","cm_cd4_t_cell_ifn_alpha",1,0.4705,FALSE
"cd56bright_nk_cell_ifn_gamma","cd56bright_nk_cell_ifn_alpha",1,0.477,FALSE
"core_naive_b_cell_ifn_alpha","core_naive_b_cell_ifn_gamma",1,0.47,FALSE
"core_cd14_monocyte_ifn_gamma","core_cd14_monocyte_ifn_alpha",1,0.4975,FALSE
"gzmk_cd56dim_nk_cell_ifn_alpha","gzmk_cd56dim_nk_cell_ifn_gamma",1,0.48,FALSE
"naive_cd4_treg_ifn_gamma","naive_cd4_treg_ifn_alpha",1,0.478,FALSE
"isg_cd14_monocyte_ifn_alpha","isg_cd14_monocyte_ifn_gamma",1,0.4655,FALSE
"isg_cd14_monocyte_tnfa_nfkb","core_cd14_monocyte_tnfa_nfkb",1,0.4715,FALSE
"memory_cd4_treg_ifn_alpha","memory_cd4_treg_ifn_gamma",1,0.469,FALSE
"core_cd16_monocyte_ifn_alpha","core_cd16_monocyte_ifn_gamma",1,0.4985,FALSE
"cd14_cdc2_ifn_alpha","cd14_cdc2_ifn_gamma",1,0.4645,FALSE
"cm_cd8_t_cell_ifn_gamma","cm_cd8_t_cell_ifn_alpha",1,0.414,FALSE
"cd8_mait_ifn_alpha","cd8_mait_ifn_gamma",1,0.491,FALSE
"intermediate_monocyte_ifn_alpha","intermediate_monocyte_ifn_gamma",1,0.4965,FALSE
