"from","to","strength","direction","in_final_dag"
"VEGFA","IL7",0.995,0.533165829145729,TRUE
"age_group","GDF15",0.991,1,TRUE
"sex","LEP",0.991,1,TRUE
"CXCL9","CXCL10",0.99,0.523737373737374,TRUE
"TNFRSF1B","HAVCR2",0.983,0.609867751780264,TRUE
"GZMA","LAG3",0.958,0.660229645093946,TRUE
"LEP","IL1RN",0.947,0.577613516367476,TRUE
"TNFRSF1B","TNFRSF1A",0.936,0.541666666666667,TRUE
"GZMA","CD8A",0.925,0.705405405405405,TRUE
"CXCL10","CXCL11",0.924,0.765692640692641,TRUE
"TNFRSF1A","HAVCR2",0.903,0.572535991140642,TRUE
"IL1RN","IL6",0.888,0.689752252252252,TRUE
"CXCL9","PDCD1",0.882,0.706916099773243,TRUE
"IL18","IL1RN",0.872,0.511467889908257,TRUE
"TNF","IFNG",0.848,0.627358490566038,TRUE
"LAG3","IGFBP7",0.836,0.708133971291866,TRUE
"GZMA","GZMB",0.819,0.67032967032967,TRUE
"sex","IGFBP7",0.814,1,TRUE
"CCL4","GZMB",0.813,0.566420664206642,TRUE
"CXCL8","MMP12",0.79,0.551898734177215,TRUE
"CHI3L1","FGF21",0.788,0.564720812182741,TRUE
"LEP","FGF21",0.787,0.593392630241423,TRUE
"CXCL8","CD8A",0.771,0.559014267185473,TRUE
"CCL3","CCL4",0.767,0.571056062581486,TRUE
"CCL11","CCL2",0.762,0.631889763779528,TRUE
"CXCL9","IFNG",0.761,0.798948751642576,TRUE
"TNFRSF1A","IGFBP7",0.757,0.819022457067371,TRUE
"CCL2","CXCL8",0.752,0.558510638297872,TRUE
"TNFRSF1B","PDCD1",0.751,0.515312916111851,TRUE
"age_group","CCL11",0.744,1,TRUE
"IL1RN","CCL4",0.739,0.555480378890392,TRUE
"IL7","VEGFA",0.995,0.466834170854271,FALSE
"GDF15","age_group",0.991,0,FALSE
"LEP","sex",0.991,0,FALSE
"CXCL10","CXCL9",0.99,0.476262626262626,FALSE
"HAVCR2","TNFRSF1B",0.983,0.390132248219735,FALSE
"LAG3","GZMA",0.958,0.339770354906054,FALSE
"IL1RN","LEP",0.947,0.422386483632524,FALSE
"TNFRSF1A","TNFRSF1B",0.936,0.458333333333333,FALSE
"CD8A","GZMA",0.925,0.294594594594595,FALSE
"CXCL11","CXCL10",0.924,0.234307359307359,FALSE
"HAVCR2","TNFRSF1A",0.903,0.427464008859358,FALSE
"IL6","IL1RN",0.888,0.310247747747748,FALSE
"PDCD1","CXCL9",0.882,0.293083900226757,FALSE
"IL1RN","IL18",0.872,0.488532110091743,FALSE
"IFNG","TNF",0.848,0.372641509433962,FALSE
"IGFBP7","LAG3",0.836,0.291866028708134,FALSE
"GZMB","GZMA",0.819,0.32967032967033,FALSE
"IGFBP7","sex",0.814,0,FALSE
"GZMB","CCL4",0.813,0.433579335793358,FALSE
"MMP12","CXCL8",0.79,0.448101265822785,FALSE
"FGF21","CHI3L1",0.788,0.435279187817259,FALSE
"FGF21","LEP",0.787,0.406607369758577,FALSE
"CD8A","CXCL8",0.771,0.440985732814527,FALSE
"CCL4","CCL3",0.767,0.428943937418514,FALSE
"CCL2","CCL11",0.762,0.368110236220472,FALSE
"IFNG","CXCL9",0.761,0.201051248357424,FALSE
"IGFBP7","TNFRSF1A",0.757,0.180977542932629,FALSE
"CXCL8","CCL2",0.752,0.441489361702128,FALSE
"PDCD1","TNFRSF1B",0.751,0.484687083888149,FALSE
"CCL11","age_group",0.744,0,FALSE
"CCL4","IL1RN",0.739,0.444519621109608,FALSE
"IL15","KLRD1",0.709,0.634696755994358,FALSE
