"from","to","strength","direction","in_final_dag"
"hemoglobin","hematocrit",1,0.53,TRUE
"ast","alt",1,0.5125,TRUE
"total_chol","ldl",1,0.501,TRUE
"hematocrit","rbc",0.994,0.758551307847082,TRUE
"mpv","platelets",0.991,0.588294651866801,TRUE
"CXCL9","CXCL10",0.987,0.547112462006079,TRUE
"VEGFA","IL7",0.985,0.582741116751269,TRUE
"sex","LEP",0.981,1,TRUE
"weight","LEP",0.977,0.95957011258956,TRUE
"albumin","calcium",0.974,0.605749486652977,TRUE
"hdl","triglycerides",0.973,0.506680369989723,TRUE
"globulin","protein",0.96,0.641666666666667,TRUE
"rdw","rbc",0.958,0.794363256784969,TRUE
"hdl","total_chol",0.957,0.694879832810867,TRUE
"age_group","GDF15",0.953,1,TRUE
"TNFRSF1B","HAVCR2",0.937,0.552828175026681,TRUE
"albumin","protein",0.916,0.707423580786026,TRUE
"GZMA","LAG3",0.909,0.625962596259626,TRUE
"weight","hdl",0.908,0.595814977973568,TRUE
"co2","chloride",0.891,0.623456790123457,TRUE
"TNFRSF1A","HAVCR2",0.886,0.522009029345373,TRUE
"hematocrit","hemoglobin",1,0.47,FALSE
"alt","ast",1,0.4875,FALSE
"ldl","total_chol",1,0.499,FALSE
"rbc","hematocrit",0.994,0.241448692152918,FALSE
"platelets","mpv",0.991,0.411705348133199,FALSE
"CXCL10","CXCL9",0.987,0.452887537993921,FALSE
"IL7","VEGFA",0.985,0.417258883248731,FALSE
"LEP","sex",0.981,0,FALSE
"LEP","weight",0.977,0.0404298874104401,FALSE
"calcium","albumin",0.974,0.394250513347023,FALSE
"triglycerides","hdl",0.973,0.493319630010278,FALSE
"protein","globulin",0.96,0.358333333333333,FALSE
"rbc","rdw",0.958,0.205636743215031,FALSE
"total_chol","hdl",0.957,0.305120167189133,FALSE
"GDF15","age_group",0.953,0,FALSE
"HAVCR2","TNFRSF1B",0.937,0.447171824973319,FALSE
"protein","albumin",0.916,0.292576419213974,FALSE
"LAG3","GZMA",0.909,0.374037403740374,FALSE
"hdl","weight",0.908,0.404185022026432,FALSE
"chloride","co2",0.891,0.376543209876543,FALSE
"HAVCR2","TNFRSF1A",0.886,0.477990970654628,FALSE
"CXCL9","PDCD1",0.869,0.700805523590334,FALSE
"PDCD1","CXCL9",0.869,0.299194476409666,FALSE
"chloride","sodium",0.854,0.492974238875878,FALSE
"sodium","chloride",0.854,0.507025761124122,FALSE
"total_chol","triglycerides",0.849,0.267373380447585,FALSE
"triglycerides","total_chol",0.849,0.732626619552415,FALSE
"TNFRSF1A","TNFRSF1B",0.849,0.425206124852768,FALSE
"TNFRSF1B","TNFRSF1A",0.849,0.574793875147232,FALSE
"CCL2","CCL11",0.824,0.39745145631068,FALSE
"CCL11","CCL2",0.824,0.60254854368932,FALSE
"sex","crp",0.819,1,FALSE
"crp","sex",0.819,0,FALSE
"CXCL10","CXCL11",0.808,0.731435643564356,FALSE
"CXCL11","CXCL10",0.808,0.268564356435644,FALSE
"TNF","IFNG",0.792,0.520833333333333,FALSE
"IFNG","TNF",0.792,0.479166666666667,FALSE
"GZMA","GZMB",0.788,0.635786802030457,FALSE
"GZMB","GZMA",0.788,0.364213197969543,FALSE
"ldl","triglycerides",0.785,0.267515923566879,FALSE
"triglycerides","ldl",0.785,0.732484076433121,FALSE
"CXCL9","IFNG",0.766,0.795691906005222,FALSE
"IFNG","CXCL9",0.766,0.204308093994778,FALSE
"bun","creatinine",0.751,0.356857523302264,FALSE
"creatinine","bun",0.751,0.643142476697736,FALSE
"IL1RN","CCL4",0.739,0.552097428958051,FALSE
"CCL4","IL1RN",0.739,0.447902571041949,FALSE
"platelets","esr",0.738,0.309620596205962,FALSE
"esr","platelets",0.738,0.690379403794038,FALSE
"hdl","ldl",0.736,0.823369565217391,FALSE
"ldl","hdl",0.736,0.176630434782609,FALSE
"CD8A","GZMA",0.735,0.33469387755102,FALSE
"GZMA","CD8A",0.735,0.66530612244898,FALSE
"protein","MMP12",0.73,0.379452054794521,FALSE
"MMP12","protein",0.73,0.62054794520548,FALSE
"calcium","potassium",0.728,0.351648351648352,FALSE
"potassium","calcium",0.728,0.648351648351648,FALSE
"CCL4","GZMB",0.726,0.550964187327824,FALSE
"GZMB","CCL4",0.726,0.449035812672176,FALSE
"sex","creatinine",0.724,1,FALSE
"creatinine","sex",0.724,0,FALSE
"bun","FGF21",0.715,0.503496503496504,FALSE
"FGF21","bun",0.715,0.496503496503497,FALSE
"albumin","bun",0.714,0.448179271708683,FALSE
"bun","albumin",0.714,0.551820728291317,FALSE
"CCL8","CCL11",0.71,0.223943661971831,FALSE
"CCL11","CCL8",0.71,0.776056338028169,FALSE
"IL1RN","LEP",0.709,0.151622002820874,FALSE
"LEP","IL1RN",0.709,0.848377997179126,FALSE
"sex","esr",0.709,1,FALSE
"esr","sex",0.709,0,FALSE
"IL6","IL1RN",0.706,0.363314447592068,FALSE
"IL1RN","IL6",0.706,0.636685552407932,FALSE
"CXCL8","CD8A",0.687,0.486171761280932,FALSE
"CD8A","CXCL8",0.687,0.513828238719068,FALSE
"weight","alt",0.678,0.588495575221239,FALSE
"alt","weight",0.678,0.411504424778761,FALSE
"age_group","CCL11",0.672,1,FALSE
"alk_phos","IL1RN",0.672,0.244047619047619,FALSE
"IL1RN","alk_phos",0.672,0.755952380952381,FALSE
"CCL11","age_group",0.672,0,FALSE
"basophils","hemoglobin",0.664,0.453313253012048,FALSE
"hemoglobin","basophils",0.664,0.546686746987952,FALSE
"TNFRSF1B","PDCD1",0.664,0.435240963855422,FALSE
"PDCD1","TNFRSF1B",0.664,0.564759036144578,FALSE
"CXCL8","CCL2",0.655,0.417557251908397,FALSE
"CCL2","CXCL8",0.655,0.582442748091603,FALSE
"IL18","PDCD1",0.645,0.267441860465116,FALSE
"PDCD1","IL18",0.645,0.732558139534884,FALSE
"age_group","ldl",0.642,1,FALSE
"ldl","age_group",0.642,0,FALSE
"eosinophils","LEP",0.625,0.296,FALSE
"LEP","eosinophils",0.625,0.704,FALSE
"FGF21","CHI3L1",0.624,0.448717948717949,FALSE
"CHI3L1","FGF21",0.624,0.551282051282051,FALSE
