"from","to","strength","direction","in_final_dag"
"sex","hemoglobin",1,1,TRUE
"esr","platelets",1,0.825,TRUE
"hemoglobin","hematocrit",1,1,TRUE
"hdl","triglycerides",1,1,TRUE
"ldl","triglycerides",1,1,TRUE
"alt","ast",1,1,TRUE
"albumin","calcium",1,1,TRUE
"creatinine","bun",1,0.99,TRUE
"bun","albumin",1,0.91,TRUE
"sex","creatinine",0.99,1,TRUE
"potassium","calcium",0.99,1,TRUE
"crp","neutrophils",0.98,0.918367346938776,TRUE
"crp","alt",0.96,0.927083333333333,TRUE
"hemoglobin","monocytes",0.96,0.989583333333333,TRUE
"hemoglobin","wbc",0.95,0.789473684210526,TRUE
"crp","esr",0.93,0.596774193548387,TRUE
"crp","wbc",0.93,0.865591397849462,TRUE
"age_group","bun",0.91,1,TRUE
"hematocrit","alt",0.88,1,TRUE
"hdl","ast",0.87,0.919540229885057,TRUE
"age_group","rdw",0.87,1,TRUE
"platelets","monocytes",0.85,0.941176470588235,TRUE
"age_group","ldl",0.84,1,TRUE
"esr","calcium",0.84,1,TRUE
"eosinophils","ast",0.83,0.987951807228916,TRUE
"crp","albumin",0.82,1,TRUE
"ldl","monocytes",0.82,1,TRUE
"esr","ast",0.77,0.974025974025974,TRUE
"crp","ast",0.74,1,TRUE
"hemoglobin","sex",1,0,FALSE
"platelets","esr",1,0.175,FALSE
"triglycerides","hdl",1,0,FALSE
"triglycerides","ldl",1,0,FALSE
"ast","alt",1,0,FALSE
"albumin","bun",1,0.09,FALSE
"bun","creatinine",1,0.01,FALSE
"hematocrit","hemoglobin",1,0,FALSE
"calcium","albumin",1,0,FALSE
"creatinine","sex",0.99,0,FALSE
"calcium","potassium",0.99,0,FALSE
"neutrophils","crp",0.98,0.0816326530612245,FALSE
"monocytes","hemoglobin",0.96,0.0104166666666667,FALSE
"alt","crp",0.96,0.0729166666666667,FALSE
"wbc","hemoglobin",0.95,0.210526315789474,FALSE
"esr","crp",0.93,0.403225806451613,FALSE
"wbc","crp",0.93,0.134408602150538,FALSE
"bun","age_group",0.91,0,FALSE
"alt","hematocrit",0.88,0,FALSE
"ast","hdl",0.87,0.0804597701149425,FALSE
"rdw","age_group",0.87,0,FALSE
"monocytes","platelets",0.85,0.0588235294117647,FALSE
"ldl","age_group",0.84,0,FALSE
"calcium","esr",0.84,0,FALSE
"ast","eosinophils",0.83,0.0120481927710843,FALSE
"monocytes","ldl",0.82,0,FALSE
"albumin","crp",0.82,0,FALSE
"ast","esr",0.77,0.025974025974026,FALSE
"ast","crp",0.74,0,FALSE
"eosinophils","glucose",0.65,0.169230769230769,FALSE
"glucose","eosinophils",0.65,0.830769230769231,FALSE
"creatinine","wbc",0.63,0.968253968253968,FALSE
"wbc","creatinine",0.63,0.0317460317460317,FALSE
"crp","triglycerides",0.6,0.983333333333333,FALSE
"triglycerides","crp",0.6,0.0166666666666667,FALSE
"hemoglobin","albumin",0.55,1,FALSE
"ldl","ast",0.55,0.981818181818182,FALSE
"ast","ldl",0.55,0.0181818181818182,FALSE
"albumin","hemoglobin",0.55,0,FALSE
"age_group","glucose",0.54,1,FALSE
"hdl","hematocrit",0.54,0,FALSE
"glucose","age_group",0.54,0,FALSE
"hematocrit","hdl",0.54,1,FALSE
"eosinophils","hemoglobin",0.53,0.433962264150943,FALSE
"hemoglobin","eosinophils",0.53,0.566037735849057,FALSE
"hemoglobin","rdw",0.53,0,FALSE
"rdw","hemoglobin",0.53,1,FALSE
"eosinophils","hdl",0.52,0.711538461538461,FALSE
"eosinophils","albumin",0.52,0.884615384615385,FALSE
"hdl","eosinophils",0.52,0.288461538461538,FALSE
"albumin","eosinophils",0.52,0.115384615384615,FALSE
"alt","calcium",0.47,0.851063829787234,FALSE
"calcium","alt",0.47,0.148936170212766,FALSE
"esr","creatinine",0.47,0,FALSE
"creatinine","esr",0.47,1,FALSE
"hematocrit","calcium",0.47,0.0638297872340425,FALSE
"calcium","hematocrit",0.47,0.936170212765957,FALSE
"albumin","hematocrit",0.46,0.0217391304347826,FALSE
"hematocrit","albumin",0.46,0.978260869565217,FALSE
"cmv","lymphocytes",0.45,1,FALSE
"lymphocytes","cmv",0.45,0,FALSE
"platelets","wbc",0.43,0.976744186046512,FALSE
"wbc","platelets",0.43,0.0232558139534884,FALSE
"ast","glucose",0.42,0.595238095238095,FALSE
"glucose","ast",0.42,0.404761904761905,FALSE
"glucose","potassium",0.42,0.452380952380952,FALSE
"potassium","glucose",0.42,0.547619047619048,FALSE
"hemoglobin","glucose",0.42,0.880952380952381,FALSE
"glucose","hemoglobin",0.42,0.119047619047619,FALSE
"lymphocytes","calcium",0.4,0.8,FALSE
"rdw","hematocrit",0.4,1,FALSE
"alt","glucose",0.4,0.95,FALSE
"glucose","alt",0.4,0.05,FALSE
"hematocrit","rdw",0.4,0,FALSE
"calcium","lymphocytes",0.4,0.2,FALSE
"rdw","hdl",0.39,1,FALSE
"hdl","rdw",0.39,0,FALSE
"sex","crp",0.37,1,FALSE
"crp","sex",0.37,0,FALSE
"hematocrit","potassium",0.35,0.0285714285714286,FALSE
"potassium","hematocrit",0.35,0.971428571428571,FALSE
"eosinophils","platelets",0.35,0.171428571428571,FALSE
"platelets","eosinophils",0.35,0.828571428571429,FALSE
"lymphocytes","hdl",0.3,0.333333333333333,FALSE
"neutrophils","creatinine",0.3,0.0666666666666667,FALSE
"hdl","lymphocytes",0.3,0.666666666666667,FALSE
"creatinine","neutrophils",0.3,0.933333333333333,FALSE
"hdl","bun",0.3,1,FALSE
"bun","hdl",0.3,0,FALSE
"lymphocytes","platelets",0.28,0.107142857142857,FALSE
"platelets","lymphocytes",0.28,0.892857142857143,FALSE
"crp","glucose",0.27,0.37037037037037,FALSE
"glucose","crp",0.27,0.62962962962963,FALSE
"esr","hematocrit",0.26,0.884615384615385,FALSE
"neutrophils","hemoglobin",0.26,0.230769230769231,FALSE
"hemoglobin","neutrophils",0.26,0.769230769230769,FALSE
"hematocrit","esr",0.26,0.115384615384615,FALSE
"eosinophils","calcium",0.23,0.565217391304348,FALSE
"calcium","eosinophils",0.23,0.434782608695652,FALSE
"platelets","potassium",0.22,0.0909090909090909,FALSE
"potassium","platelets",0.22,0.909090909090909,FALSE
"crp","creatinine",0.21,0.0476190476190476,FALSE
"creatinine","crp",0.21,0.952380952380952,FALSE
"bun","wbc",0.21,0.238095238095238,FALSE
"wbc","bun",0.21,0.761904761904762,FALSE
"sex","esr",0.21,1,FALSE
"esr","sex",0.21,0,FALSE
"esr","hdl",0.19,0.526315789473684,FALSE
"hdl","esr",0.19,0.473684210526316,FALSE
"sex","rdw",0.18,1,FALSE
"rdw","sex",0.18,0,FALSE
"age_group","esr",0.17,1,FALSE
"esr","age_group",0.17,0,FALSE
"esr","lymphocytes",0.17,0.764705882352941,FALSE
"lymphocytes","esr",0.17,0.235294117647059,FALSE
"neutrophils","triglycerides",0.17,0.941176470588235,FALSE
"neutrophils","potassium",0.17,0.764705882352941,FALSE
"hdl","ldl",0.17,0.0588235294117647,FALSE
