"from","to","strength","direction","in_final_dag"
"weight","hdl",1,0.99,TRUE
"hematocrit","hemoglobin",1,1,TRUE
"hematocrit","rbc",1,1,TRUE
"mpv","platelets",1,0.92,TRUE
"rdw","rbc",1,1,TRUE
"albumin","calcium",1,1,TRUE
"albumin","protein",1,1,TRUE
"alt","weight",1,0.66,TRUE
"alt","ast",1,0.98,TRUE
"bun","albumin",1,0.75,TRUE
"chloride","co2",1,0.58,TRUE
"globulin","protein",1,1,TRUE
"hdl","total_chol",1,1,TRUE
"hdl","triglycerides",1,1,TRUE
"ldl","total_chol",1,1,TRUE
"ldl","triglycerides",1,1,TRUE
"triglycerides","total_chol",1,1,TRUE
"sex","crp",0.99,1,TRUE
"chloride","sodium",0.99,0.631313131313131,TRUE
"potassium","calcium",0.99,0.98989898989899,TRUE
"creatinine","bun",0.98,0.969387755102041,TRUE
"sex","creatinine",0.97,1,TRUE
"hemoglobin","basophils",0.96,0.979166666666667,TRUE
"age_group","total_chol",0.95,1,TRUE
"platelets","esr",0.94,0.691489361702128,TRUE
"rdw","weight",0.93,0.827956989247312,TRUE
"age_group","alk_phos",0.92,1,TRUE
"platelets","basophils",0.92,0.945652173913043,TRUE
"neutrophils","sodium",0.92,0.510869565217391,TRUE
"eosinophils","ast",0.91,0.934065934065934,TRUE
"sodium","wbc",0.91,0.527472527472527,TRUE
"crp","neutrophils",0.89,0.955056179775281,TRUE
"sex","esr",0.88,1,TRUE
"esr","globulin",0.88,0.954545454545454,TRUE
"sex","hematocrit",0.87,1,TRUE
"hemoglobin","monocytes",0.87,1,TRUE
"esr","calcium",0.86,1,TRUE
"alk_phos","ldl",0.85,1,TRUE
"platelets","lymphocytes",0.83,0.963855421686747,TRUE
"age_group","hdl",0.81,1,TRUE
"rbc","hemoglobin",0.8,1,TRUE
"creatinine","rbc",0.8,1,TRUE
"rbc","lymphocytes",0.78,0.743589743589744,TRUE
"age_group","glucose",0.77,1,TRUE
"chloride","potassium",0.77,0.753246753246753,TRUE
"weight","crp",0.74,0.918918918918919,TRUE
"sex","platelets",0.73,1,TRUE
"crp","esr",0.72,0.930555555555555,TRUE
"globulin","wbc",0.72,0.569444444444444,TRUE
"monocytes","mpv",0.71,0.767605633802817,TRUE
"age_group","rdw",0.71,1,TRUE
"rbc","crp",0.69,1,TRUE
"sodium","glucose",0.66,0.621212121212121,TRUE
"hemoglobin","wbc",0.65,1,TRUE
"crp","wbc",0.65,1,TRUE
"weight","alt",1,0.34,FALSE
"hemoglobin","hematocrit",1,0,FALSE
"platelets","mpv",1,0.08,FALSE
"rbc","hematocrit",1,0,FALSE
"rbc","rdw",1,0,FALSE
"albumin","bun",1,0.25,FALSE
"ast","alt",1,0.02,FALSE
"calcium","albumin",1,0,FALSE
"co2","chloride",1,0.42,FALSE
"protein","albumin",1,0,FALSE
"protein","globulin",1,0,FALSE
"hdl","weight",1,0.01,FALSE
"total_chol","hdl",1,0,FALSE
"total_chol","ldl",1,0,FALSE
"total_chol","triglycerides",1,0,FALSE
"triglycerides","hdl",1,0,FALSE
"triglycerides","ldl",1,0,FALSE
"calcium","potassium",0.99,0.0101010101010101,FALSE
"sodium","chloride",0.99,0.368686868686869,FALSE
"crp","sex",0.99,0,FALSE
"bun","creatinine",0.98,0.0306122448979592,FALSE
"creatinine","sex",0.97,0,FALSE
"basophils","hemoglobin",0.96,0.0208333333333333,FALSE
"total_chol","age_group",0.95,0,FALSE
"esr","platelets",0.94,0.308510638297872,FALSE
"weight","rdw",0.93,0.172043010752688,FALSE
"basophils","platelets",0.92,0.0543478260869565,FALSE
"alk_phos","age_group",0.92,0,FALSE
"sodium","neutrophils",0.92,0.489130434782609,FALSE
"wbc","sodium",0.91,0.472527472527473,FALSE
"ast","eosinophils",0.91,0.0659340659340659,FALSE
"neutrophils","crp",0.89,0.0449438202247191,FALSE
"globulin","esr",0.88,0.0454545454545455,FALSE
"esr","sex",0.88,0,FALSE
"hematocrit","sex",0.87,0,FALSE
"monocytes","hemoglobin",0.87,0,FALSE
"calcium","esr",0.86,0,FALSE
"ldl","alk_phos",0.85,0,FALSE
"lymphocytes","platelets",0.83,0.036144578313253,FALSE
"hdl","age_group",0.81,0,FALSE
"hemoglobin","rbc",0.8,0,FALSE
"rbc","creatinine",0.8,0,FALSE
"lymphocytes","rbc",0.78,0.256410256410256,FALSE
"glucose","age_group",0.77,0,FALSE
"potassium","chloride",0.77,0.246753246753247,FALSE
"crp","weight",0.74,0.0810810810810811,FALSE
"platelets","sex",0.73,0,FALSE
"esr","crp",0.72,0.0694444444444444,FALSE
"wbc","globulin",0.72,0.430555555555556,FALSE
"mpv","monocytes",0.71,0.232394366197183,FALSE
"rdw","age_group",0.71,0,FALSE
"crp","rbc",0.69,0,FALSE
"glucose","sodium",0.66,0.378787878787879,FALSE
"wbc","hemoglobin",0.65,0,FALSE
"wbc","crp",0.65,0,FALSE
"ast","globulin",0.6,0.233333333333333,FALSE
"globulin","ast",0.6,0.766666666666667,FALSE
"wbc","creatinine",0.59,0.0508474576271186,FALSE
"creatinine","wbc",0.59,0.949152542372881,FALSE
"age_group","bun",0.59,1,FALSE
"bun","age_group",0.59,0,FALSE
"eosinophils","globulin",0.58,0.413793103448276,FALSE
"globulin","eosinophils",0.58,0.586206896551724,FALSE
"hematocrit","alt",0.57,0.771929824561403,FALSE
"monocytes","ldl",0.57,0.12280701754386,FALSE
"wbc","co2",0.57,0.0526315789473684,FALSE
"alt","hematocrit",0.57,0.228070175438596,FALSE
"co2","wbc",0.57,0.947368421052632,FALSE
