"from","to","strength","direction","in_final_dag"
"cm_cd4_t_cell_ifn_alpha","cm_cd4_t_cell_ifn_gamma",1,0.99,TRUE
"cm_cd4_t_cell_ifn_alpha","gzmb_cd27_em_cd4_t_cell_ifn_alpha",1,0.945,TRUE
"cm_cd4_t_cell_il2_stat5","cm_cd4_t_cell_tnfa_nfkb",1,0.99,TRUE
"cm_cd4_t_cell_il2_stat5","gzmb_cd27_em_cd4_t_cell_il2_stat5",1,0.98,TRUE
"cm_cd4_t_cell_il2_stat5","cm_cd8_t_cell_il2_stat5",1,1,TRUE
"cm_cd4_t_cell_tnfa_nfkb","gzmb_cd27_em_cd4_t_cell_tnfa_nfkb",1,0.99,TRUE
"cd56bright_nk_cell_ifn_alpha","cd56bright_nk_cell_ifn_gamma",1,1,TRUE
"gzmb_cd27_em_cd4_t_cell_ifn_alpha","gzmb_cd27_em_cd4_t_cell_ifn_gamma",1,0.77,TRUE
"core_naive_cd8_t_cell_ifn_alpha","core_naive_cd8_t_cell_ifn_gamma",1,0.975,TRUE
"core_naive_cd8_t_cell_ifn_gamma","core_naive_cd4_t_cell_ifn_gamma",1,0.99,TRUE
"core_naive_cd8_t_cell_il2_stat5","core_naive_cd4_t_cell_il2_stat5",1,0.99,TRUE
"core_naive_cd8_t_cell_inflammatory","core_naive_cd8_t_cell_il6_jak_stat3",1,0.87,TRUE
"core_naive_cd8_t_cell_tnfa_nfkb","core_naive_cd4_t_cell_tnfa_nfkb",1,0.69,TRUE
"core_naive_b_cell_ifn_alpha","core_naive_b_cell_ifn_gamma",1,0.945,TRUE
"core_naive_b_cell_il6_jak_stat3","core_naive_b_cell_inflammatory",1,0.97,TRUE
"core_naive_b_cell_tnfa_nfkb","transitional_b_cell_tnfa_nfkb",1,0.96,TRUE
"core_naive_cd4_t_cell_ifn_gamma","core_naive_cd4_t_cell_ifn_alpha",1,0.84,TRUE
"core_naive_cd4_t_cell_il6_jak_stat3","core_naive_cd4_t_cell_inflammatory",1,0.88,TRUE
"core_memory_b_cell_ifn_gamma","core_memory_b_cell_ifn_alpha",1,0.65,TRUE
"core_cd14_monocyte_ifn_alpha","core_cd14_monocyte_ifn_gamma",1,1,TRUE
"core_cd14_monocyte_il2_stat5","core_cd14_monocyte_inflammatory",1,0.81,TRUE
"core_cd14_monocyte_il2_stat5","isg_cd14_monocyte_il2_stat5",1,1,TRUE
"core_cd14_monocyte_il6_jak_stat3","isg_cd14_monocyte_il6_jak_stat3",1,1,TRUE
"core_cd14_monocyte_inflammatory","isg_cd14_monocyte_inflammatory",1,1,TRUE
"core_cd14_monocyte_inflammatory","intermediate_monocyte_inflammatory",1,0.99,TRUE
"core_cd14_monocyte_tnfa_nfkb","isg_cd14_monocyte_tnfa_nfkb",1,1,TRUE
"core_cd14_monocyte_tnfa_nfkb","intermediate_monocyte_tnfa_nfkb",1,0.995,TRUE
"gzmk_cd56dim_nk_cell_ifn_alpha","gzmk_cd56dim_nk_cell_ifn_gamma",1,0.995,TRUE
"gzmk_cd56dim_nk_cell_ifn_gamma","gzmk_cd56dim_nk_cell_il2_stat5",1,0.5,TRUE
"gzmk_cd56dim_nk_cell_il2_stat5","gzmk_cd56dim_nk_cell_ifn_gamma",1,0.5,TRUE
"gzmk_cd56dim_nk_cell_il6_jak_stat3","gzmk_cd56dim_nk_cell_inflammatory",1,0.655,TRUE
"gzmk_cd56dim_nk_cell_inflammatory","gzmk_cd56dim_nk_cell_il2_stat5",1,0.52,TRUE
"gzmk_cd56dim_nk_cell_tnfa_nfkb","cd8_mait_tnfa_nfkb",1,0.79,TRUE
"naive_cd4_treg_ifn_alpha","naive_cd4_treg_ifn_gamma",1,1,TRUE
"naive_cd4_treg_ifn_gamma","naive_cd4_treg_inflammatory",1,0.97,TRUE
"transitional_b_cell_ifn_alpha","transitional_b_cell_ifn_gamma",1,0.51,TRUE
"isg_cd14_monocyte_ifn_alpha","isg_cd14_monocyte_ifn_gamma",1,1,TRUE
"memory_cd4_treg_ifn_alpha","memory_cd4_treg_ifn_gamma",1,0.91,TRUE
"core_cd16_monocyte_ifn_alpha","core_cd16_monocyte_ifn_gamma",1,1,TRUE
"core_cd16_monocyte_tnfa_nfkb","core_cd16_monocyte_inflammatory",1,0.98,TRUE
"cd14_cdc2_ifn_alpha","core_cd14_monocyte_ifn_alpha",1,0.83,TRUE
"cd14_cdc2_ifn_alpha","cd14_cdc2_ifn_gamma",1,0.985,TRUE
"cd14_cdc2_tnfa_nfkb","cd14_cdc2_inflammatory",1,0.86,TRUE
"cd14_cdc2_tnfa_nfkb","hla_drhi_cdc2_tnfa_nfkb",1,0.91,TRUE
"cm_cd8_t_cell_ifn_alpha","cm_cd8_t_cell_ifn_gamma",1,0.99,TRUE
"cm_cd8_t_cell_tnfa_nfkb","gzmk_vd2_gdt_tnfa_nfkb",1,0.82,TRUE
"cd8_mait_ifn_alpha","cd8_mait_ifn_gamma",1,1,TRUE
"intermediate_monocyte_ifn_alpha","core_cd16_monocyte_ifn_alpha",1,0.605,TRUE
"intermediate_monocyte_ifn_alpha","intermediate_monocyte_ifn_gamma",1,1,TRUE
"intermediate_monocyte_inflammatory","intermediate_monocyte_tnfa_nfkb",1,0.68,TRUE
"hla_drhi_cdc2_ifn_alpha","hla_drhi_cdc2_ifn_gamma",1,0.97,TRUE
"hla_drhi_cdc2_il2_stat5","hla_drhi_cdc2_inflammatory",1,0.65,TRUE
"hla_drhi_cdc2_tnfa_nfkb","hla_drhi_cdc2_inflammatory",1,0.88,TRUE
"pdc_ifn_alpha","pdc_ifn_gamma",1,0.955,TRUE
"pdc_il2_stat5","pdc_il6_jak_stat3",1,1,TRUE
"klrb1_memory_cd4_treg_ifn_alpha","klrb1_memory_cd4_treg_ifn_gamma",1,0.97,TRUE
"klrb1_memory_cd4_treg_ifn_gamma","klrb1_memory_cd4_treg_il2_stat5",1,0.62,TRUE
"gzmk_vd2_gdt_ifn_alpha","gzmk_vd2_gdt_ifn_gamma",1,1,TRUE
"klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha","klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma",1,1,TRUE
"klrf1_gzmb_cd27_em_cd8_t_cell_il2_stat5","klrf1_gzmb_cd27_em_cd8_t_cell_inflammatory",1,0.7,TRUE
"klrf1_gzmb_cd27_em_cd8_t_cell_il6_jak_stat3","klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma",1,0.75,TRUE
"isg_memory_cd4_t_cell_ifn_alpha","isg_memory_cd4_t_cell_ifn_gamma",1,1,TRUE
"transitional_b_cell_ifn_gamma","transitional_b_cell_il2_stat5",0.99,0.944444444444444,TRUE
"cm_cd4_t_cell_il6_jak_stat3","core_naive_b_cell_il6_jak_stat3",0.99,0.909090909090909,TRUE
"cm_cd4_t_cell_inflammatory","cd56bright_nk_cell_inflammatory",0.99,1,TRUE
