"from","to","strength","direction","in_final_dag"
"e2f_targets","g2_m_checkpoint",1,0.805,TRUE
"e2f_targets","myc_targets_v1",1,0.875,TRUE
"g2_m_checkpoint","mitotic_spindle",1,0.975,TRUE
"myc_targets_v1","dna_repair",1,0.995,TRUE
"uv_response_dn","inflammatory_response",1,0.905,TRUE
"hypoxia","protein_secretion",1,0.97,TRUE
"inflammatory_response","il_6_jak_stat3_signaling",1,0.985,TRUE
"inflammatory_response","kras_signaling_up",1,0.985,TRUE
"interferon_alpha_response","interferon_gamma_response",1,0.725,TRUE
"coagulation","complement",1,0.56,TRUE
"kras_signaling_up","allograft_rejection",1,0.99,TRUE
"epithelial_mesenchymal_transition","uv_response_dn",1,0.57,TRUE
"epithelial_mesenchymal_transition","hypoxia",1,0.855,TRUE
"epithelial_mesenchymal_transition","apical_junction",1,0.915,TRUE
"estrogen_response_early","estrogen_response_late",1,1,TRUE
"estrogen_response_early","apical_surface",1,0.985,TRUE
"apoptosis","cholesterol_homeostasis",1,0.785,TRUE
"protein_secretion","cholesterol_homeostasis",1,0.72,TRUE
"unfolded_protein_response","uv_response_up",0.99,0.96969696969697,TRUE
"il_2_stat5_signaling","fatty_acid_metabolism",0.99,0.919191919191919,TRUE
"adipogenesis","mitotic_spindle",0.99,0.656565656565657,TRUE
"il_2_stat5_signaling","apoptosis",0.98,0.561224489795918,TRUE
"myc_targets_v1","myc_targets_v2",0.97,0.948453608247423,TRUE
"hypoxia","glycolysis",0.97,0.752577319587629,TRUE
"mtorc1_signaling","glycolysis",0.96,0.635416666666667,TRUE
"bile_acid_metabolism","pperoxisome",0.96,0.760416666666667,TRUE
"myogenesis","estrogen_response_early",0.96,0.90625,TRUE
"reactive_oxygen_species_pathway","dna_repair",0.95,0.989473684210526,TRUE
"e2f_targets","mtorc1_signaling",0.94,0.968085106382979,TRUE
"reactive_oxygen_species_pathway","unfolded_protein_response",0.94,0.98936170212766,TRUE
"heme_metabolism","uv_response_up",0.94,0.957446808510638,TRUE
"g2_m_checkpoint","glycolysis",0.94,0.601063829787234,TRUE
"epithelial_mesenchymal_transition","myogenesis",0.94,0.622340425531915,TRUE
"g2_m_checkpoint","estrogen_response_late",0.92,0.956521739130435,TRUE
"p53_pathway","uv_response_up",0.92,0.739130434782609,TRUE
"il_6_jak_stat3_signaling","myc_targets_v2",0.92,0.956521739130435,TRUE
"epithelial_mesenchymal_transition","xenobiotic_metabolism",0.92,0.983695652173913,TRUE
"apoptosis","allograft_rejection",0.92,0.869565217391304,TRUE
"protein_secretion","androgen_response",0.92,0.815217391304348,TRUE
"apical_junction","pancreas_beta_cells",0.91,1,TRUE
"kras_signaling_up","tnf_alpha_signaling_via_nf_kb",0.91,0.912087912087912,TRUE
"adipogenesis","xenobiotic_metabolism",0.91,0.791208791208791,TRUE
"complement","uv_response_up",0.9,0.555555555555556,TRUE
"apoptosis","androgen_response",0.9,0.755555555555556,TRUE
"spermatogenesis","il_2_stat5_signaling",0.9,0.8,TRUE
"adipogenesis","hedgehog_signaling",0.89,0.752808988764045,TRUE
"uv_response_dn","adipogenesis",0.89,0.780898876404494,TRUE
"angiogenesis","wnt_beta_catenin_signaling",0.88,0.971590909090909,TRUE
"angiogenesis","p53_pathway",0.87,0.64367816091954,TRUE
"pi3k_akt_mtor_signaling","androgen_response",0.86,0.604651162790698,TRUE
"myc_targets_v2","cholesterol_homeostasis",0.86,0.802325581395349,TRUE
"il_6_jak_stat3_signaling","tnf_alpha_signaling_via_nf_kb",0.85,0.952941176470588,TRUE
"tnf_alpha_signaling_via_nf_kb","il_2_stat5_signaling",0.85,0.894117647058824,TRUE
"pperoxisome","wnt_beta_catenin_signaling",0.83,0.927710843373494,TRUE
"protein_secretion","angiogenesis",0.83,0.927710843373494,TRUE
"reactive_oxygen_species_pathway","il_2_stat5_signaling",0.82,0.98780487804878,TRUE
"unfolded_protein_response","tnf_alpha_signaling_via_nf_kb",0.81,0.82716049382716,TRUE
"myogenesis","spermatogenesis",0.81,0.919753086419753,TRUE
"myc_targets_v2","oxidative_phosphorylation",0.8,0.5625,TRUE
"inflammatory_response","angiogenesis",0.78,0.967948717948718,TRUE
"hypoxia","hedgehog_signaling",0.78,0.884615384615385,TRUE
"cholesterol_homeostasis","notch_signaling",0.77,0.941558441558441,TRUE
"protein_secretion","pperoxisome",0.77,0.883116883116883,TRUE
"epithelial_mesenchymal_transition","kras_signaling_dn",0.76,0.934210526315789,TRUE
"estrogen_response_early","kras_signaling_dn",0.76,0.69078947368421,TRUE
"hypoxia","inflammatory_response",0.74,0.891891891891892,TRUE
"estrogen_response_early","apical_junction",0.73,0.719178082191781,TRUE
"oxidative_phosphorylation","xenobiotic_metabolism",0.72,0.986111111111111,TRUE
"dna_repair","unfolded_protein_response",0.71,0.704225352112676,TRUE
"pi3k_akt_mtor_signaling","uv_response_up",0.71,0.845070422535211,TRUE
"e2f_targets","unfolded_protein_response",0.7,0.835714285714286,TRUE
"reactive_oxygen_species_pathway","tnf_alpha_signaling_via_nf_kb",0.7,1,TRUE
"pi3k_akt_mtor_signaling","complement",0.7,0.585714285714286,TRUE
"inflammatory_response","apoptosis",0.68,0.926470588235294,TRUE
"myogenesis","bile_acid_metabolism",0.68,0.794117647058823,TRUE
"interferon_gamma_response","unfolded_protein_response",0.68,0.691176470588235,TRUE
"mtorc1_signaling","myc_targets_v2",0.67,0.940298507462687,TRUE
"myogenesis","pi3k_akt_mtor_signaling",0.67,0.977611940298507,TRUE
"xenobiotic_metabolism","fatty_acid_metabolism",0.66,0.742424242424242,TRUE
"xenobiotic_metabolism","uv_response_up",0.65,0.692307692307692,TRUE
"glycolysis","interferon_gamma_response",0.65,0.630769230769231,TRUE
"kras_signaling_up","complement",0.64,0.6015625,TRUE
"epithelial_mesenchymal_transition","bile_acid_metabolism",0.64,0.796875,TRUE
"unfolded_protein_response","spermatogenesis",0.63,0.777777777777778,TRUE
"kras_signaling_dn","spermatogenesis",0.62,0.564516129032258,TRUE
"mitotic_spindle","apoptosis",0.6,0.866666666666667,TRUE
"dna_repair","oxidative_phosphorylation",0.58,0.53448275862069,TRUE
"apical_junction","coagulation",0.58,0.896551724137931,TRUE
"dna_repair","kras_signaling_dn",0.58,0.827586206896552,TRUE
"g2_m_checkpoint","e2f_targets",1,0.195,FALSE
"mitotic_spindle","g2_m_checkpoint",1,0.025,FALSE
"myc_targets_v1","e2f_targets",1,0.125,FALSE
"dna_repair","myc_targets_v1",1,0.005,FALSE
"uv_response_dn","epithelial_mesenchymal_transition",1,0.43,FALSE
"hypoxia","epithelial_mesenchymal_transition",1,0.145,FALSE
"inflammatory_response","uv_response_dn",1,0.095,FALSE
"interferon_gamma_response","interferon_alpha_response",1,0.275,FALSE
"il_6_jak_stat3_signaling","inflammatory_response",1,0.015,FALSE
"complement","coagulation",1,0.44,FALSE
"allograft_rejection","kras_signaling_up",1,0.01,FALSE
"kras_signaling_up","inflammatory_response",1,0.015,FALSE
"cholesterol_homeostasis","apoptosis",1,0.215,FALSE
"cholesterol_homeostasis","protein_secretion",1,0.28,FALSE
"estrogen_response_late","estrogen_response_early",1,0,FALSE
"apical_junction","epithelial_mesenchymal_transition",1,0.085,FALSE
"apical_surface","estrogen_response_early",1,0.015,FALSE
"protein_secretion","hypoxia",1,0.03,FALSE
"mitotic_spindle","adipogenesis",0.99,0.343434343434343,FALSE
"uv_response_up","unfolded_protein_response",0.99,0.0303030303030303,FALSE
"fatty_acid_metabolism","il_2_stat5_signaling",0.99,0.0808080808080808,FALSE
"apoptosis","il_2_stat5_signaling",0.98,0.438775510204082,FALSE
"myc_targets_v2","myc_targets_v1",0.97,0.0515463917525773,FALSE
"glycolysis","hypoxia",0.97,0.247422680412371,FALSE
"glycolysis","mtorc1_signaling",0.96,0.364583333333333,FALSE
"pperoxisome","bile_acid_metabolism",0.96,0.239583333333333,FALSE
"estrogen_response_early","myogenesis",0.96,0.09375,FALSE
"dna_repair","reactive_oxygen_species_pathway",0.95,0.0105263157894737,FALSE
"uv_response_up","heme_metabolism",0.94,0.0425531914893617,FALSE
"unfolded_protein_response","reactive_oxygen_species_pathway",0.94,0.0106382978723404,FALSE
"mtorc1_signaling","e2f_targets",0.94,0.0319148936170213,FALSE
"glycolysis","g2_m_checkpoint",0.94,0.398936170212766,FALSE
"myogenesis","epithelial_mesenchymal_transition",0.94,0.377659574468085,FALSE
"myc_targets_v2","il_6_jak_stat3_signaling",0.92,0.0434782608695652,FALSE
"uv_response_up","p53_pathway",0.92,0.260869565217391,FALSE
"allograft_rejection","apoptosis",0.92,0.130434782608696,FALSE
"xenobiotic_metabolism","epithelial_mesenchymal_transition",0.92,0.016304347826087,FALSE
"androgen_response","protein_secretion",0.92,0.184782608695652,FALSE
"estrogen_response_late","g2_m_checkpoint",0.92,0.0434782608695652,FALSE
"pancreas_beta_cells","apical_junction",0.91,0,FALSE
"tnf_alpha_signaling_via_nf_kb","kras_signaling_up",0.91,0.0879120879120879,FALSE
"xenobiotic_metabolism","adipogenesis",0.91,0.208791208791209,FALSE
"uv_response_up","complement",0.9,0.444444444444444,FALSE
"androgen_response","apoptosis",0.9,0.244444444444444,FALSE
"il_2_stat5_signaling","spermatogenesis",0.9,0.2,FALSE
"hedgehog_signaling","adipogenesis",0.89,0.247191011235955,FALSE
"adipogenesis","uv_response_dn",0.89,0.219101123595506,FALSE
"wnt_beta_catenin_signaling","angiogenesis",0.88,0.0284090909090909,FALSE
"p53_pathway","angiogenesis",0.87,0.35632183908046,FALSE
"androgen_response","pi3k_akt_mtor_signaling",0.86,0.395348837209302,FALSE
"cholesterol_homeostasis","myc_targets_v2",0.86,0.197674418604651,FALSE
"tnf_alpha_signaling_via_nf_kb","il_6_jak_stat3_signaling",0.85,0.0470588235294118,FALSE
"il_2_stat5_signaling","tnf_alpha_signaling_via_nf_kb",0.85,0.105882352941176,FALSE
"wnt_beta_catenin_signaling","pperoxisome",0.83,0.072289156626506,FALSE
"angiogenesis","protein_secretion",0.83,0.072289156626506,FALSE
"il_2_stat5_signaling","reactive_oxygen_species_pathway",0.82,0.0121951219512195,FALSE
"tnf_alpha_signaling_via_nf_kb","unfolded_protein_response",0.81,0.17283950617284,FALSE
"spermatogenesis","myogenesis",0.81,0.0802469135802469,FALSE
"oxidative_phosphorylation","myc_targets_v2",0.8,0.4375,FALSE
"angiogenesis","inflammatory_response",0.78,0.0320512820512821,FALSE
"hedgehog_signaling","hypoxia",0.78,0.115384615384615,FALSE
"notch_signaling","cholesterol_homeostasis",0.77,0.0584415584415584,FALSE
"pperoxisome","protein_secretion",0.77,0.116883116883117,FALSE
"kras_signaling_dn","epithelial_mesenchymal_transition",0.76,0.0657894736842105,FALSE
"kras_signaling_dn","estrogen_response_early",0.76,0.309210526315789,FALSE
"inflammatory_response","hypoxia",0.74,0.108108108108108,FALSE
"apical_junction","estrogen_response_early",0.73,0.280821917808219,FALSE
"xenobiotic_metabolism","oxidative_phosphorylation",0.72,0.0138888888888889,FALSE
"uv_response_up","pi3k_akt_mtor_signaling",0.71,0.154929577464789,FALSE
"unfolded_protein_response","dna_repair",0.71,0.295774647887324,FALSE
"unfolded_protein_response","e2f_targets",0.7,0.164285714285714,FALSE
"tnf_alpha_signaling_via_nf_kb","reactive_oxygen_species_pathway",0.7,0,FALSE
"complement","pi3k_akt_mtor_signaling",0.7,0.414285714285714,FALSE
"bile_acid_metabolism","myogenesis",0.68,0.205882352941176,FALSE
"apoptosis","inflammatory_response",0.68,0.0735294117647059,FALSE
"unfolded_protein_response","interferon_gamma_response",0.68,0.308823529411765,FALSE
"myc_targets_v2","mtorc1_signaling",0.67,0.0597014925373134,FALSE
"pi3k_akt_mtor_signaling","myogenesis",0.67,0.0223880597014925,FALSE
"fatty_acid_metabolism","xenobiotic_metabolism",0.66,0.257575757575758,FALSE
"uv_response_up","xenobiotic_metabolism",0.65,0.307692307692308,FALSE
"interferon_gamma_response","glycolysis",0.65,0.369230769230769,FALSE
"complement","kras_signaling_up",0.64,0.3984375,FALSE
"bile_acid_metabolism","epithelial_mesenchymal_transition",0.64,0.203125,FALSE
"spermatogenesis","unfolded_protein_response",0.63,0.222222222222222,FALSE
"spermatogenesis","kras_signaling_dn",0.62,0.435483870967742,FALSE
"apoptosis","mitotic_spindle",0.6,0.133333333333333,FALSE
"coagulation","apical_junction",0.58,0.103448275862069,FALSE
"oxidative_phosphorylation","dna_repair",0.58,0.46551724137931,FALSE
"kras_signaling_dn","dna_repair",0.58,0.172413793103448,FALSE
"myogenesis","apical_junction",0.55,0.672727272727273,FALSE
"apical_junction","myogenesis",0.55,0.327272727272727,FALSE
"sex","reactive_oxygen_species_pathway",0.54,1,FALSE
"reactive_oxygen_species_pathway","sex",0.54,0,FALSE
"coagulation","adipogenesis",0.54,0.333333333333333,FALSE
"kras_signaling_up","adipogenesis",0.54,0.240740740740741,FALSE
"adipogenesis","coagulation",0.54,0.666666666666667,FALSE
"adipogenesis","kras_signaling_up",0.54,0.759259259259259,FALSE
"unfolded_protein_response","interferon_alpha_response",0.53,0.89622641509434,FALSE
"interferon_alpha_response","unfolded_protein_response",0.53,0.10377358490566,FALSE
"hedgehog_signaling","myogenesis",0.52,0.221153846153846,FALSE
"fatty_acid_metabolism","estrogen_response_late",0.52,0.0192307692307692,FALSE
"myogenesis","hedgehog_signaling",0.52,0.778846153846154,FALSE
"estrogen_response_late","fatty_acid_metabolism",0.52,0.980769230769231,FALSE
"p53_pathway","kras_signaling_up",0.51,0.196078431372549,FALSE
"coagulation","epithelial_mesenchymal_transition",0.51,0.107843137254902,FALSE
"kras_signaling_up","p53_pathway",0.51,0.803921568627451,FALSE
"glycolysis","adipogenesis",0.51,0.588235294117647,FALSE
"adipogenesis","glycolysis",0.51,0.411764705882353,FALSE
"epithelial_mesenchymal_transition","coagulation",0.51,0.892156862745098,FALSE
"p53_pathway","fatty_acid_metabolism",0.5,0.16,FALSE
"oxidative_phosphorylation","heme_metabolism",0.5,0.98,FALSE
"fatty_acid_metabolism","p53_pathway",0.5,0.84,FALSE
"heme_metabolism","oxidative_phosphorylation",0.5,0.02,FALSE
"spermatogenesis","epithelial_mesenchymal_transition",0.5,0.04,FALSE
"epithelial_mesenchymal_transition","spermatogenesis",0.5,0.96,FALSE
"reactive_oxygen_species_pathway","pancreas_beta_cells",0.49,1,FALSE
"complement","cholesterol_homeostasis",0.49,0.591836734693878,FALSE
"cholesterol_homeostasis","complement",0.49,0.408163265306122,FALSE
"pancreas_beta_cells","reactive_oxygen_species_pathway",0.49,0,FALSE
"adipogenesis","apical_surface",0.48,0.833333333333333,FALSE
"apical_surface","adipogenesis",0.48,0.166666666666667,FALSE
"coagulation","kras_signaling_dn",0.48,0.541666666666667,FALSE
"kras_signaling_dn","coagulation",0.48,0.458333333333333,FALSE
"kras_signaling_dn","androgen_response",0.48,0.604166666666667,FALSE
"androgen_response","kras_signaling_dn",0.48,0.395833333333333,FALSE
"mtorc1_signaling","adipogenesis",0.47,0.148936170212766,FALSE
"adipogenesis","mtorc1_signaling",0.47,0.851063829787234,FALSE
"tnf_alpha_signaling_via_nf_kb","apoptosis",0.47,0.659574468085106,FALSE
"apoptosis","tnf_alpha_signaling_via_nf_kb",0.47,0.340425531914894,FALSE
"allograft_rejection","tgf_beta_signaling",0.46,1,FALSE
"tgf_beta_signaling","allograft_rejection",0.46,0,FALSE
"myc_targets_v1","oxidative_phosphorylation",0.44,0.920454545454545,FALSE
"oxidative_phosphorylation","myc_targets_v1",0.44,0.0795454545454545,FALSE
"mitotic_spindle","estrogen_response_early",0.44,1,FALSE
"hypoxia","complement",0.44,0.977272727272727,FALSE
"complement","hypoxia",0.44,0.0227272727272727,FALSE
"kras_signaling_dn","fatty_acid_metabolism",0.44,0.25,FALSE
"fatty_acid_metabolism","kras_signaling_dn",0.44,0.75,FALSE
"estrogen_response_early","mitotic_spindle",0.44,0,FALSE
"p53_pathway","xenobiotic_metabolism",0.44,0.204545454545455,FALSE
"xenobiotic_metabolism","p53_pathway",0.44,0.795454545454546,FALSE
"e2f_targets","protein_secretion",0.43,0.558139534883721,FALSE
"xenobiotic_metabolism","angiogenesis",0.43,0.744186046511628,FALSE
"angiogenesis","xenobiotic_metabolism",0.43,0.255813953488372,FALSE
"protein_secretion","e2f_targets",0.43,0.441860465116279,FALSE
"myc_targets_v1","cholesterol_homeostasis",0.41,0.878048780487805,FALSE
"kras_signaling_up","myogenesis",0.41,0,FALSE
"kras_signaling_up","androgen_response",0.41,0.841463414634146,FALSE
"cholesterol_homeostasis","myc_targets_v1",0.41,0.121951219512195,FALSE
"myogenesis","kras_signaling_up",0.41,1,FALSE
"androgen_response","kras_signaling_up",0.41,0.158536585365854,FALSE
"g2_m_checkpoint","protein_secretion",0.39,0.384615384615385,FALSE
"complement","allograft_rejection",0.39,0.487179487179487,FALSE
"complement","apical_surface",0.39,0.487179487179487,FALSE
"allograft_rejection","complement",0.39,0.512820512820513,FALSE
"kras_signaling_dn","apical_junction",0.39,0.282051282051282,FALSE
"apical_junction","kras_signaling_dn",0.39,0.717948717948718,FALSE
"apical_junction","protein_secretion",0.39,0,FALSE
"apical_surface","complement",0.39,0.512820512820513,FALSE
"protein_secretion","g2_m_checkpoint",0.39,0.615384615384615,FALSE
"protein_secretion","apical_junction",0.39,1,FALSE
"reactive_oxygen_species_pathway","estrogen_response_late",0.38,1,FALSE
"mtorc1_signaling","cholesterol_homeostasis",0.38,0.421052631578947,FALSE
"cholesterol_homeostasis","mtorc1_signaling",0.38,0.578947368421053,FALSE
"estrogen_response_late","reactive_oxygen_species_pathway",0.38,0,FALSE
"e2f_targets","myc_targets_v2",0.37,0.837837837837838,FALSE
"myc_targets_v2","e2f_targets",0.37,0.162162162162162,FALSE
"il_6_jak_stat3_signaling","angiogenesis",0.37,0.675675675675676,FALSE
"hedgehog_signaling","glycolysis",0.37,0.783783783783784,FALSE
"glycolysis","hedgehog_signaling",0.37,0.216216216216216,FALSE
"angiogenesis","il_6_jak_stat3_signaling",0.37,0.324324324324324,FALSE
"myc_targets_v2","dna_repair",0.36,0.944444444444444,FALSE
"dna_repair","myc_targets_v2",0.36,0.0555555555555556,FALSE
"uv_response_dn","estrogen_response_late",0.36,0.944444444444444,FALSE
